Weight Class,Rank,Wrestler Name,Year and Record,Team,Team Rank
125,#1,"Figueroa, Richard",JR |  0 - 0,#23 Arizona State,23 Arizona State
125,#2,"Ayala, Drake",JR |  0 - 0,#4 Iowa,4 Iowa
125,#3,"Noto, Anthony",SR |  0 - 0,#45 Lock Haven,45 Lock Haven
125,#4,"Ramos, Matt",SR |  0 - 0,#30 Purdue,30 Purdue
125,#5,"Stanich, Luke",SO |  0 - 0,#9 Lehigh,9 Lehigh
125,#6,"Davis, Braeden",SO |  0 - 0,#1 Penn State,1 Penn State
125,#7,"Peterson, Dean",JR |  0 - 0,#14 Rutgers,14 Rutgers
125,#8,"Camacho, Jakob",SR |  0 - 0,#5 NC State,5 NC State
125,#9,"Volk, Jore",JR |  0 - 0,#25 Wyoming,25 Wyoming
125,#10,"Smith, Caleb",SR |  0 - 0,#6 Nebraska,6 Nebraska
125,#11,"Diakomihalis, Greg",SR |  0 - 0,#10 Cornell,10 Cornell
125,#12,"Jordan, Tanner",SR |  0 - 0,#22 South Dakota State,22 South Dakota State
125,#13,"Spratley, Troy",SO |  0 - 0,#2 Oklahoma State,2 Oklahoma State
125,#14,"Provo, Nico",JR |  0 - 0,#16 Stanford,16 Stanford
125,#15,"Poulin, Stevo",JR |  0 - 0,#47 Northern Colorado,47 Northern Colorado
125,#16,"Griffin, Eli",JR |  0 - 0,#57 Cal Baptist,57 Cal Baptist
125,#17,"Molton, Anthony",SR |  0 - 0,#24 Campbell,24 Campbell
125,#18,"Maida, Jack",SR |  0 - 0,#63 American,63 American
125,#19,"Sotelo, Diego",SR |  0 - 0,#54 Harvard,54 Harvard
125,#20,"Surtin, Noah",SR |  0 - 0,#8 Missouri,8 Missouri
125,#21,"Gallagher, Max",SO |  0 - 0,#28 Pennsylvania,28 Pennsylvania
125,#22,"Anderson, Trever",SO |  0 - 0,#7 Northern Iowa,7 Northern Iowa
125,#23,"Berginc, Ethan",JR |  0 - 0,#27 Army West Point,27 Army West Point
125,#24,"Strickenberger, Jett",SR |  0 - 0,#18 West Virginia,18 West Virginia
125,#25,"Terukina, Kysen",SR |  0 - 0,#15 Iowa State,15 Iowa State
125,#26,"Moore, Spencer",JR |  0 - 0,#19 North Carolina,19 North Carolina
125,#27,"Babin, Nick",SR |  0 - 0,#20 Pittsburgh,20 Pittsburgh
125,#28,"Bellis, Chad",JR |  0 - 0,#36 Appalachian State,36 Appalachian State
125,#29,"Lujan, Tristan",SR |  0 - 0,#59 Michigan State,59 Michigan State
125,#30,"Joyce, Michael",JR |  0 - 0,#56 Brown,56 Brown
125,#31,"Camacho, Colton",SR |  0 - 0,#72 Edinboro,72 Edinboro
125,#32,"Mendez, Dominic",SO |  0 - 0,#32 Cal Poly,32 Cal Poly
125,#33,"Wertanen, Nolan",SO |  0 - 0,#11 Michigan,11 Michigan
133,#1,"Crookham, Ryan",SO |  0 - 0,#9 Lehigh,9 Lehigh
133,#2,"Ragusin, Dylan",SR |  0 - 0,#11 Michigan,11 Michigan
133,#3,"Bailey, Nasir",SO |  0 - 0,#26 Little Rock,26 Little Rock
133,#4,"Shawver, Dylan",JR |  0 - 0,#14 Rutgers,14 Rutgers
133,#5,"Orine, Kai",SR |  0 - 0,#5 NC State,5 NC State
133,#6,"Byrd, Lucas",SR |  0 - 0,#17 Illinois,17 Illinois
133,#7,"Frost, Evan",SO |  0 - 0,#15 Iowa State,15 Iowa State
133,#8,"Nagao, Aaron",JR |  0 - 0,#1 Penn State,1 Penn State
133,#9,"Bouzakis, Nic",SO |  0 - 0,#3 Ohio State,3 Ohio State
133,#10,"Ungar, Brett",JR |  0 - 0,#10 Cornell,10 Cornell
133,#11,"McGonagle, Connor",SR |  0 - 0,#12 Virginia Tech,12 Virginia Tech
133,#12,"Yarbrough, Marlon",JR |  0 - 0,#35 Virginia,35 Virginia
133,#13,"Basile, Braden",SO |  0 - 0,#27 Army West Point,27 Army West Point
133,#14,"Van Dee, Jacob",SO |  0 - 0,#6 Nebraska,6 Nebraska
133,#15,"Wells, Tyler",SO |  0 - 0,#13 Minnesota,13 Minnesota
133,#16,"Chlebove, Julian",SR |  0 - 0,#23 Arizona State,23 Arizona State
133,#17,"Phipps, Kurt",SR |  0 - 0,#41 Bucknell,41 Bucknell
133,#18,"Zaccone, Domenic",SR |  0 - 0,#24 Campbell,24 Campbell
133,#19,"Serrano, Dominick",JR |  0 - 0,#47 Northern Colorado,47 Northern Colorado
133,#20,"Romney, Zeth",SO |  0 - 0,#32 Cal Poly,32 Cal Poly
133,#21,"Oakley, Ethan",JR |  0 - 0,#19 North Carolina,19 North Carolina
133,#22,"Brown, Braxton",JR |  0 - 0,#34 Maryland,34 Maryland
133,#23,"Moore, Kade",SO |  0 - 0,#8 Missouri,8 Missouri
133,#24,"Knox, Tyler",FR |  0 - 0,#16 Stanford,16 Stanford
133,#25,"Miller, Ryan",SR |  0 - 0,#28 Pennsylvania,28 Pennsylvania
133,#26,"Farber, Julian",SR |  0 - 0,#7 Northern Iowa,7 Northern Iowa
133,#27,"Leiphart, Mason",JR |  0 - 0,#65 Franklin & Marshall,65 Franklin & Marshall
133,#28,"Santaniello, Vince",SO |  0 - 0,#20 Pittsburgh,20 Pittsburgh
133,#29,"Strickland, Gable",SR |  0 - 0,#45 Lock Haven,45 Lock Haven
133,#30,"Cardinal, Derrick",JR |  0 - 0,#22 South Dakota State,22 South Dakota State
133,#31,"Boarman, Blake",JR |  0 - 0,#49 Chattanooga,49 Chattanooga
133,#32,"Roes, Micah",SR |  0 - 0,#55 Binghamton,55 Binghamton
133,#33,"Whisenhunt, Gabe",SO |  0 - 0,#31 Oregon State,31 Oregon State
141,#1,"Mendez, Jesse",JR |  0 - 0,#3 Ohio State,3 Ohio State
141,#2,"Bartlett, Beau",SR |  0 - 0,#1 Penn State,1 Penn State
141,#3,"Hardy, Brock",JR |  0 - 0,#6 Nebraska,6 Nebraska
141,#4,"Koderhandt, Joshua",SR |  0 - 0,#33 Navy,33 Navy
141,#5,"Jack, Ryan",SR |  0 - 0,#5 NC State,5 NC State
141,#6,"Happel, Cael",SR |  0 - 0,#7 Northern Iowa,7 Northern Iowa
141,#7,"Lemley, Sergio",SO |  0 - 0,#11 Michigan,11 Michigan
141,#8,"Vasquez, Jesse",SR |  0 - 0,#23 Arizona State,23 Arizona State
141,#9,"Edmond, Josh",JR |  0 - 0,#8 Missouri,8 Missouri
141,#10,"Henson, Wyatt",JR |  0 - 0,#45 Lock Haven,45 Lock Haven
141,#11,"Belton, Cleveland",SR |  0 - 0,#31 Oregon State,31 Oregon State
141,#12,"Vombaur, Vance",JR |  0 - 0,#13 Minnesota,13 Minnesota
141,#13,"Composto, CJ",JR |  0 - 0,#28 Pennsylvania,28 Pennsylvania
141,#14,"Cornella, Vince",JR |  0 - 0,#10 Cornell,10 Cornell
141,#15,"Jamison, Tagen",SO |  0 - 0,#2 Oklahoma State,2 Oklahoma State
141,#16,"Tal-Shahar, Frankie",JR |  0 - 0,#37 Northwestern,37 Northwestern
141,#17,"Latona, Sam",SR |  0 - 0,#12 Virginia Tech,12 Virginia Tech
141,#18,"Titus, Jordan",JR |  0 - 0,#18 West Virginia,18 West Virginia
141,#19,"Olivieri, Joey",JR |  0 - 0,#14 Rutgers,14 Rutgers
141,#20,"Clark, Greyson",SO |  0 - 0,#30 Purdue,30 Purdue
